train,val/PMC4055390_00006.jpg
train,val/PMC3335537_00001.jpg
train,val/PMC3335537_00002.jpg
test,val/PMC5153480_00002.jpg
train,val/PMC4971329_00001.jpg
train,val/PMC3503280_00001.jpg
train,val/PMC4251791_00001.jpg
train,val/PMC3996984_00006.jpg
train,val/PMC4158306_00001.jpg
train,val/PMC3485906_00001.jpg
train,val/PMC4131423_00003.jpg
test,val/PMC4737055_00003.jpg
test,val/PMC6081530_00001.jpg
train,val/PMC3335649_00001.jpg
train,val/PMC3610354_00003.jpg
train,val/PMC3610354_00004.jpg
train,val/PMC3362827_00001.jpg
test,val/PMC3539333_00001.jpg
train,val/PMC4244952_00001.jpg
test,val/PMC3712248_00001.jpg
train,val/PMC3712248_00004.jpg
train,val/PMC3712248_00005.jpg
test,val/PMC3712248_00007.jpg
train,val/PMC3712248_00008.jpg
train,val/PMC3539341_00005.jpg
train,val/PMC4377480_00001.jpg
test,val/PMC5485347_00005.jpg
test,val/PMC4227328_00001.jpg
train,val/PMC4745297_00001.jpg
train,val/PMC4745297_00004.jpg
train,val/PMC4745297_00005.jpg
train,val/PMC3503282_00001.jpg
train,val/PMC3503282_00002.jpg
train,val/PMC3741993_00004.jpg
test,val/PMC3590641_00001.jpg
train,val/PMC4284952_00001.jpg
test,val/PMC4158142_00005.jpg
train,val/PMC4189985_00001.jpg
train,val/PMC3885202_00004.jpg
train,val/PMC4142313_00008.jpg
train,val/PMC4820630_00001.jpg
train,val/PMC3745965_00001.jpg
test,val/PMC3745965_00007.jpg
test,val/PMC4248358_00002.jpg
test,val/PMC5463111_00001.jpg
train,val/PMC4663003_00003.jpg
train,val/PMC4641962_00003.jpg
train,val/PMC3512265_00003.jpg
train,val/PMC4055381_00001.jpg
val,val/PMC3980931_00001.jpg
train,val/PMC4854984_00001.jpg
train,val/PMC4854984_00008.jpg
train,val/PMC3359716_00001.jpg
train,val/PMC3359716_00003.jpg
train,val/PMC3306977_00003.jpg
train,val/PMC3306977_00005.jpg
train,val/PMC3447363_00002.jpg
train,val/PMC3582095_00002.jpg
train,val/PMC3205663_00001.jpg
train,val/PMC3893856_00001.jpg
test,val/PMC3134251_00001.jpg
train,val/PMC3087892_00001.jpg
test,val/PMC3337620_00001.jpg
train,val/PMC3337620_00003.jpg
train,val/PMC3945217_00001.jpg
train,val/PMC4963558_00004.jpg
train,val/PMC3235901_00003.jpg
train,val/PMC4572426_00001.jpg
train,val/PMC3014672_00005.jpg
train,val/PMC3876905_00001.jpg
train,val/PMC3818899_00001.jpg
train,val/PMC3235904_00001.jpg
train,val/PMC3364007_00002.jpg
train,val/PMC3235906_00002.jpg
train,val/PMC3345239_00002.jpg
train,val/PMC3345239_00003.jpg
train,val/PMC3345239_00004.jpg
test,val/PMC3543801_00004.jpg
val,val/PMC3614026_00005.jpg
test,val/PMC2809333_00012.jpg
train,val/PMC5829348_00006.jpg
train,val/PMC5829348_00007.jpg
train,val/PMC4198775_00001.jpg
train,val/PMC5292178_00004.jpg
val,val/PMC3376773_00003.jpg
train,val/PMC5896212_00003.jpg
train,val/PMC2952911_00003.jpg
train,val/PMC3833111_00001.jpg
train,val/PMC3833111_00003.jpg
train,val/PMC3833111_00004.jpg
